Date,Reducing largest loss cost,Increasing system inertia cost,Voltage constraints cost,Thermal constraints cost,Reducing largest loss volume,Increasing system inertia volume,Voltage constraints volume,Thermal constraints volume
2023-04-01,0,0,1866622,0,0,0,14497,0
2023-04-02,0,0,742832,0,0,0,9121,0
2023-04-03,0,0,304446,606083,0,0,5444,-4884
2023-04-04,0,0,67058,6069825,0,0,1275,-37604
2023-04-05,0,0,0,9683044,0,0,0,-40979
2023-04-06,0,0,20281,3326110,0,0,130,-15599
2023-04-07,0,0,72411,0,0,0,1030,0
2023-04-08,0,0,158353,6493,0,0,2040,-69
2023-04-09,0,636073,515699,13669817,0,17766,15225,-80545
2023-04-10,0,995654,1360098,11416522,0,15535,23863,-59696
2023-04-11,0,580380,564103,14757869,0,8563,12166,-67249
2023-04-12,0,716,510088,16839983,0,70,10828,-83530
2023-04-13,0,0,209830,3391506,0,0,5306,-11733
2023-04-14,0,0,117,346642,0,0,240,752
2023-04-15,0,0,48794,137518,0,0,2160,-639
2023-04-16,0,0,88506,1043443,0,0,1920,-6558
2023-04-17,0,0,0,999243,0,0,0,-8698
2023-04-18,0,45229,36720,930996,0,1060,337,-14432
2023-04-19,0,177701,208507,2384842,0,4486,5140,-10502
2023-04-20,0,78405,548067,310426,0,1692,8150,-2126
2023-04-21,0,0,23751,3039924,0,0,1204,-16651
2023-04-22,0,14727,19517,192952,0,598,461,-740
2023-04-23,0,467541,435021,4656695,0,9677,5379,-31638
2023-04-24,0,275879,443083,3225933,0,6435,6179,-37758
2023-04-25,0,67985,25508,550158,0,3076,1680,-8776
2023-04-26,0,0,0,97864,0,0,0,-692
2023-04-27,0,0,2480,1400807,0,0,621,-11828
2023-04-28,0,0,152672,395668,0,0,4021,-2126
2023-04-29,0,0,0,79528,0,0,0,-686
2023-04-30,0,0,59864,0,0,0,2510,0
2023-05-01,0,42262,172899,455229,0,1543,6615,-3965
2023-05-02,0,0,0,100316,0,0,0,-687
2023-05-03,0,12957,98607,0,0,238,1531,0
2023-05-04,0,115526,507911,14167495,0,4557,16189,-59289
2023-05-05,0,174992,74343,5699808,0,6992,5929,-30454
2023-05-06,0,0,95868,544247,0,0,2526,-4076
2023-05-07,0,11844,374783,308539,0,623,8354,-3527
2023-05-08,0,63366,580905,1998097,0,2144,15193,-11354
2023-05-09,0,0,87424,293061,0,0,3001,-1997
2023-05-10,0,0,212698,193866,0,0,3077,-3463
2023-05-11,0,0,77915,220712,0,0,1750,-3637
2023-05-12,0,0,89906,206253,0,0,2447,2400
2023-05-13,0,0,466677,311749,0,0,14893,-3608
2023-05-14,0,0,590677,25212,0,0,13831,-106
2023-05-15,0,0,388703,142687,0,0,6265,4773
2023-05-16,0,0,458347,527680,0,0,7137,-2380
2023-05-17,0,0,207317,428667,0,0,2982,-2801
2023-05-18,0,0,98946,192545,0,0,1920,-777
2023-05-19,0,2391,52064,0,0,174,2224,0
2023-05-20,0,294789,1069389,139693,0,5306,14381,-515
2023-05-21,0,1075378,1775196,0,0,14712,18992,0
2023-05-22,0,0,279231,328886,0,0,6634,-1847
2023-05-23,0,0,664387,587685,0,0,9562,-5651
2023-05-24,0,0,702607,1490436,0,0,8720,-13207
2023-05-25,0,0,409829,0,0,0,6022,0
2023-05-26,0,0,220999,0,0,0,4584,0
2023-05-27,0,0,2860375,2564680,0,0,35097,-13954
2023-05-28,0,566050,1775510,0,0,8964,25052,0
2023-05-29,0,482916,4894905,4776,0,5472,37855,-23
2023-05-30,0,59152,860427,17452,0,880,11325,683
2023-05-31,0,0,399316,28937,0,0,7335,-71
2023-06-01,0,0,792987,0,0,0,8592,0
2023-06-02,0,0,1137557,-525,0,0,11968,261
2023-06-03,0,296609,1698606,2772,0,3968,27782,52
2023-06-04,0,50499,1462151,0,0,3707,31473,0
2023-06-05,0,0,418860,79599,0,0,5966,1212
2023-06-06,0,0,653074,20341,0,0,5764,410
2023-06-07,0,0,286655,77459,0,0,3283,1658
2023-06-08,0,0,187076,49995,0,0,2804,-108
2023-06-09,0,396,93776,61194,0,463,3134,-296
2023-06-10,0,2439383,1570415,754182,0,31062,18144,-1939
2023-06-11,0,132044,-31048,721383,0,10623,10090,-1055
2023-06-12,0,0,109678,12826,0,0,1919,-308
2023-06-13,0,0,8046,8355,0,0,116,86
2023-06-14,0,0,0,20696,0,0,0,-61
2023-06-15,0,0,0,0,0,0,0,0
2023-06-16,0,0,0,0,0,0,0,0
2023-06-17,0,0,0,19886,0,0,0,-57
2023-06-18,0,0,216799,0,0,0,3120,0
2023-06-19,0,0,57981,648200,0,0,2860,3589
2023-06-20,0,0,0,339145,0,0,0,-5387
2023-06-21,0,0,0,155001,0,0,0,1484
2023-06-22,0,0,0,109945,0,0,0,-1154
2023-06-23,0,0,131384,424533,0,0,2066,-619
2023-06-24,0,457297,1027881,17750,0,6914,14437,-22
2023-06-25,0,3995606,1105803,4379022,0,52096,11162,-19601
2023-06-26,0,850758,1196106,775961,0,9990,10642,-1768
2023-06-27,0,0,121064,565602,0,0,2933,-1720
2023-06-28,0,0,53213,394261,0,0,2456,-1623
2023-06-29,0,0,55364,61628,0,0,671,-590
2023-06-30,0,218392,341671,266832,0,3723,3810,344
2023-07-01,0,1204383,902898,12108863,0,36911,15739,-70992
2023-07-02,0,6688070,1636415,9300832,0,67672,15667,-59239
2023-07-03,0,1770199,1026936,9515385,0,30356,14775,-56917
2023-07-04,0,1134784,707863,630905,0,11416,5904,-3972
2023-07-05,0,0,566135,44411,0,0,8434,-378
2023-07-06,0,0,76980,5719503,0,0,3332,-7252
2023-07-07,0,110346,120432,15210392,0,5977,6494,-37849
2023-07-08,0,913459,687804,6943867,0,11475,7910,-21756
2023-07-09,0,0,162239,199820,0,0,4966,-1775
2023-07-10,0,15697,83225,605140,0,1188,1678,7629
2023-07-11,0,0,101012,1038721,0,0,2084,6892
2023-07-12,0,0,166780,14752,0,0,3868,700
2023-07-13,0,0,0,43010,0,0,0,-592
2023-07-14,0,93687,97203,3759044,0,3211,1184,-9057
2023-07-15,0,2294801,1886621,1994167,0,36633,19495,-13029
2023-07-16,0,2429940,3658635,2256663,0,25792,35823,-11655
2023-07-17,0,325565,525614,22742,0,4764,7475,-173
2023-07-18,0,0,0,148716,0,0,0,-260
2023-07-19,0,0,0,11071,0,0,0,-44
2023-07-20,0,0,0,0,0,0,0,0
2023-07-21,0,0,183056,0,0,0,3980,0
2023-07-22,-12651,14890,479848,479612,-450,1653,9080,-8124
2023-07-23,0,2829138,2965206,2523447,0,32668,27243,-19327
2023-07-24,0,259162,543027,0,0,7606,10311,0
2023-07-25,0,0,118129,0,0,0,2940,0
2023-07-26,0,8130,163851,7636,0,520,4799,-16
2023-07-27,0,142407,433477,582525,0,4359,8755,-2496
2023-07-28,0,0,387473,0,0,0,4689,0
2023-07-29,0,944203,3856844,0,0,31181,40286,0
2023-07-30,0,2261565,4572816,343514,0,45365,39376,-1352
2023-07-31,0,392642,2212638,175174,0,6043,24341,-628
2023-08-01,0,44961,1406445,198343,0,1329,18346,-809
2023-08-02,0,260972,1164130,354546,0,4798,13665,-1288
2023-08-03,0,1166298,1940762,370634,0,12488,16690,-3005
2023-08-04,0,0,448244,63873,0,0,7050,-401
2023-08-05,0,22568,415316,71598,0,605,5769,-1291
2023-08-06,0,2010347,4666650,1007436,0,21827,32740,-3779
2023-08-07,0,71572,445914,184908,0,4894,13358,-265
2023-08-08,0,78967,1356000,189186,0,1177,12119,-1653
2023-08-09,0,0,704178,205990,0,0,9397,-829
2023-08-10,0,0,479566,19161,0,0,5638,963
2023-08-11,0,13778,396157,1402493,0,428,8964,-8977
2023-08-12,0,1178685,2264540,9425243,0,28079,38323,-63061
2023-08-13,0,1377696,2388849,2387850,0,25622,32361,-12349
2023-08-14,0,0,280315,110436,0,0,7180,1145
2023-08-15,0,0,312566,49391,0,0,6041,528
2023-08-16,0,0,121038,23700,0,0,1816,445
2023-08-17,0,0,296325,1104497,0,0,4990,-4114
2023-08-18,0,27355,505931,11150549,0,2994,12882,-55490
2023-08-19,0,1349409,1896869,13088113,0,34372,32715,-69151
2023-08-20,0,551455,1638336,1616336,0,16118,19743,3392
2023-08-21,0,0,381497,6721795,0,0,8709,710
2023-08-22,0,0,223547,8019167,0,0,8017,-18784
2023-08-23,0,0,10051,832684,0,0,166,16914
2023-08-24,0,0,46947,273536,0,0,1666,6050
2023-08-25,0,0,42338,1078831,0,0,1575,8927
2023-08-26,0,0,400644,85529,0,0,8403,-407
2023-08-27,0,0,713979,453228,0,0,14129,-2783
2023-08-28,0,0,346920,21766,0,0,5685,800
2023-08-29,0,0,130044,2492206,0,0,2612,3557
2023-08-30,0,0,379463,452194,0,0,4833,-2628
2023-08-31,0,0,121490,213765,0,0,2355,-2551
2023-09-01,0,0,95108,424220,0,0,3304,-3897
2023-09-02,0,37261,256535,1286647,0,1548,4589,-13890
2023-09-03,0,1022589,909749,7871304,0,25717,19459,-53021
2023-09-04,0,0,183917,2275610,0,0,8289,-31775
2023-09-05,0,0,330055,167788,0,0,5994,-1827
2023-09-06,0,0,233619,800450,0,0,5294,-16217
2023-09-07,0,0,222502,851873,0,0,5278,-11740
2023-09-08,0,0,172374,17622,0,0,3808,-114
2023-09-09,0,0,228947,1237686,0,0,5626,-13322
2023-09-10,0,0,240049,104290,0,0,4984,-414
2023-09-11,0,0,75009,1601910,0,0,6121,-10213
2023-09-12,0,0,180633,1063464,0,0,3551,-10544
2023-09-13,0,0,191755,3175824,0,0,4623,-19081
2023-09-14,0,0,112681,9162566,0,0,5858,-63531
2023-09-15,0,0,102314,1177693,0,0,1864,-16720
2023-09-16,0,18378,657740,927349,0,525,8856,-15528
2023-09-17,0,591769,1005035,286274,0,8376,14144,-10411
2023-09-18,0,571326,727083,1506103,0,10740,10506,-10005
2023-09-19,0,352206,2889556,1772919,0,4683,21374,-9564
2023-09-20,0,441051,1172535,10812588,0,10129,19271,-61211
2023-09-21,0,171790,149360,7478554,0,5680,9536,-34751
2023-09-22,0,0,542986,1176506,0,0,5610,-8326
2023-09-23,0,178330,662299,829407,0,2822,9812,-6844
2023-09-24,0,2561407,1875529,11245456,0,48572,22016,-65963
2023-09-25,0,1265824,1494256,12449775,0,17630,13275,-80947
2023-09-26,0,497319,184586,6731127,0,16918,6197,-35701
2023-09-27,0,196700,367959,6299061,0,2141,5237,-36126
2023-09-28,0,313651,551171,14329720,0,12610,15945,-67584
2023-09-29,0,636942,588073,12963883,0,12924,12108,-67290
2023-09-30,0,90002,270460,722061,0,2584,5793,-3946
2023-10-01,0,723235,1471008,4154739,0,18375,14980,-27479
2023-10-02,0,1749,77026,4335881,0,463,7543,-30973
2023-10-03,0,550073,1275926,3260799,0,11698,22095,-20060
2023-10-04,0,492414,866407,3525820,0,13898,11570,-13358
2023-10-05,0,57420,588197,3498406,0,2895,9536,-5223
2023-10-06,0,1327053,2282739,4408517,0,19654,16447,-39229
2023-10-07,0,1766126,2515961,605509,0,24985,19359,-2699
2023-10-08,0,80704,766593,1960351,0,1950,11054,-6308
2023-10-09,0,0,127364,492381,0,0,5779,-2872
2023-10-10,0,100794,394217,11218701,0,6055,9669,-52009
2023-10-11,0,676030,1291769,8937523,0,9557,14965,-50464
2023-10-12,0,48236,297835,4252444,0,2221,5387,-24231
2023-10-13,0,75964,1139842,10257558,0,2467,31084,-51431
2023-10-14,0,1258937,3051982,9073141,0,15965,31628,-50115
2023-10-15,0,401176,954650,3708813,0,8422,19869,-11480
2023-10-16,0,0,268997,1747040,0,0,6291,-7420
2023-10-17,0,175826,1031044,67359,0,2687,11597,-49
2023-10-18,0,566939,2773447,10496614,0,5816,29373,-53641
2023-10-19,0,222362,1341744,10350648,0,5323,22401,-48106
2023-10-20,0,167766,828843,14254935,0,5665,24789,-74935
2023-10-21,0,306436,1418569,6938335,0,6649,23697,-36437
2023-10-22,0,1087488,587645,814844,0,11139,8555,-2537
2023-10-23,0,0,499676,163970,0,0,13610,-369
2023-10-24,0,0,599408,1748721,0,0,12539,-10497
2023-10-25,0,0,446401,5809089,0,0,9246,-37288
2023-10-26,0,0,472301,4169348,0,0,8634,-33357
2023-10-27,0,0,290377,10585550,0,0,16557,-51091
2023-10-28,0,35989,1382170,10999957,0,1302,26595,-52768
2023-10-29,0,232995,1483019,11991513,0,7791,31249,-51680
2023-10-30,0,0,1795713,3174370,0,0,18234,-11556
2023-10-31,0,0,604093,1437722,0,0,16319,-4452
2023-11-01,0,306966,2107563,7310073,0,4732,23145,-25657
2023-11-02,0,1057973,2299171,2517622,0,9898,21576,-10482
2023-11-03,0,0,1205348,4624790,0,0,14412,-9367
2023-11-04,0,0,1054332,30065,0,0,17213,432
2023-11-05,0,458448,1539726,117351,0,5456,20221,-462
2023-11-06,0,49907,1248789,15182,0,836,13672,266
2023-11-07,0,21858,1334666,195647,0,411,13556,-344
2023-11-08,0,65046,707881,10042127,0,2083,15588,-50451
2023-11-09,0,444691,722839,645168,0,4159,7692,333
2023-11-10,0,0,807430,534387,0,0,9985,-2454
2023-11-11,0,0,921945,719180,0,0,9935,-3078
2023-11-12,0,13977,591544,1227862,0,1650,8878,-6576
2023-11-13,0,377287,830250,6224462,0,11579,14224,-33125
2023-11-14,0,938333,766454,349482,0,10395,15348,-989
2023-11-15,0,354211,972200,302821,0,6553,10439,-2065
2023-11-16,0,0,331394,608340,0,0,5647,-3342
2023-11-17,0,0,458752,677640,0,0,7463,-5589
2023-11-18,0,392747,1735739,3812465,0,4936,24330,-22580
2023-11-19,0,1154586,3103625,0,0,10586,25725,0
2023-11-20,0,124214,804641,4820501,0,2725,10845,-38987
2023-11-21,0,0,541242,4003287,0,0,11045,-28468
2023-11-22,0,233466,656064,14422963,0,7870,17958,-52638
2023-11-23,0,368755,552551,13425135,0,11484,14980,-78661
2023-11-24,0,247780,1035981,5897947,0,3219,10910,-41139
2023-11-25,0,0,503468,841472,0,0,8936,-3039
2023-11-26,0,0,354333,316499,0,0,5907,-2310
2023-11-27,0,0,293745,3028316,0,0,7350,-28256
2023-11-28,0,0,406685,3835078,0,0,7252,-21106
2023-11-29,0,0,193396,1560592,0,0,3572,-7266
2023-11-30,0,0,130729,841460,0,0,1720,-6959
2023-12-01,0,0,135976,917776,0,0,1442,-2436
2023-12-02,0,0,7987,904452,0,0,520,-4632
2023-12-03,0,0,115726,611264,0,0,2597,-5657
2023-12-04,0,0,330269,1792222,0,0,6284,-16944
2023-12-05,0,0,398774,1001659,0,0,5781,-4769
2023-12-06,0,0,62878,4032046,0,0,804,2732
2023-12-07,0,0,226058,6027547,0,0,5885,-28343
2023-12-08,0,5269,356132,1181230,0,868,6349,-6382
2023-12-09,0,451695,791343,1660580,0,9265,8941,-9611
2023-12-10,0,1242600,1488387,62651,0,16489,13226,-628
2023-12-11,0,361758,486763,0,0,8068,5820,0
2023-12-12,0,0,429459,2350244,0,0,5197,-26608
2023-12-13,0,0,416105,612467,0,0,4988,-6603
2023-12-14,0,0,71382,2022956,0,0,1383,-20580
2023-12-15,0,0,264142,2916318,0,0,4877,-14976
2023-12-16,0,1221,411440,9550971,0,757,6947,-70791
2023-12-17,0,500150,839146,6910586,0,20146,10270,-49687
2023-12-18,0,265880,690601,1337581,0,8997,5990,-10943
2023-12-19,0,41391,646710,4913263,0,3062,10179,-30772
2023-12-20,0,265644,308214,5453409,0,12726,7337,-43256
2023-12-21,0,105613,794658,8704108,0,7495,14268,-66612
2023-12-22,0,326648,1870681,7824723,0,3941,16647,-52470
2023-12-23,0,379823,2097499,5023544,0,4540,36376,-33511
2023-12-24,0,245646,3130317,6314120,0,4225,46927,-57065
2023-12-25,0,356686,3712378,1452113,0,9434,49343,-7614
2023-12-26,0,0,3264042,237699,0,0,29675,-1286
2023-12-27,0,0,928040,7000986,0,0,25866,-50347
2023-12-28,0,308351,2225337,3891283,0,5312,36867,-24775
2023-12-29,0,304961,2393641,47253,0,4867,29326,-299
2023-12-30,0,0,1686570,1594375,0,0,37631,-11456
2023-12-31,0,0,2701492,622101,0,0,40227,-57
2024-01-01,0,125463,3037704,102135,0,1694,34037,-341
2024-01-02,0,63262,1259623,261328,0,2014,20449,-1458
2024-01-03,0,0,1467734,25371,0,0,18117,-45
2024-01-04,0,0,730765,794933,0,0,12178,-8388
2024-01-05,0,0,770546,23040,0,0,9626,-488
2024-01-06,0,0,799130,278260,0,0,12628,-2946
2024-01-07,0,0,584325,223286,0,0,11397,-2643
2024-01-08,0,0,303830,407823,0,0,7379,-3694
2024-01-09,0,0,0,386434,0,0,0,-4790
2024-01-10,0,0,0,401131,0,0,0,-3127
2024-01-11,0,0,0,266042,0,0,0,3786
2024-01-12,0,0,41381,480742,0,0,1000,-5238
2024-01-13,0,0,141787,1892386,0,0,6511,-18748
2024-01-14,0,0,404152,910573,0,0,9001,-6029
2024-01-15,0,0,569009,1910783,0,0,9343,-20466
2024-01-16,0,0,6642,384017,0,0,219,13629
2024-01-17,0,0,33435,205070,0,0,1095,-1721
2024-01-18,0,0,13470,1846265,0,0,483,-22607
2024-01-19,0,0,154684,5765245,0,0,8853,-44890
2024-01-20,0,22021,559171,8817905,0,4354,16886,-63459
2024-01-21,0,641131,1186372,5890001,0,20442,22302,-46940
2024-01-22,0,227298,1669019,5864344,0,2655,18954,-41629
2024-01-23,0,48020,1226547,5211136,0,2947,21628,-37010
2024-01-24,0,61924,439153,5466167,0,1794,21536,-35365
2024-01-25,0,17091,400095,4346370,0,2081,10393,-28203
2024-01-26,0,91030,503261,8708897,0,5192,18593,-57967
2024-01-27,0,4876,236091,11816198,0,1271,17377,-74913
2024-01-28,0,0,301587,11046681,0,0,11565,-75712
2024-01-29,0,0,483615,134716,0,0,9959,-874
2024-01-30,0,0,528792,2080528,0,0,8481,-20692
2024-01-31,0,6396,360703,9636341,0,1817,14488,-52276
2024-02-01,0,213339,909691,5527753,0,6449,14913,-28903
2024-02-02,0,143218,429918,10364895,0,16292,15029,-67577
2024-02-03,0,817742,1342341,9534797,0,17455,20743,-82807
2024-02-04,0,804094,1400717,7250067,0,23855,27165,-61618
2024-02-05,0,622686,1342511,2926983,0,11409,17264,-22639
2024-02-06,0,152513,69499,6031116,0,13382,7186,-39293
2024-02-07,0,0,366397,524120,0,0,5713,-5495
2024-02-08,0,4254,293406,888232,0,387,4581,-7957
2024-02-09,0,0,375221,7033132,0,0,15188,-50915
2024-02-10,0,0,316104,2050735,0,0,11239,-14215
2024-02-11,0,0,595491,0,0,0,10696,0
2024-02-12,0,0,449597,1747506,0,0,9670,-2686
2024-02-13,0,0,443462,2584010,0,0,9942,-19008
2024-02-14,0,0,622229,7018,0,0,11340,-330
2024-02-15,0,0,584008,57461,0,0,9982,-1000
2024-02-16,0,0,533995,0,0,0,9259,0
2024-02-17,0,9320,511811,1230046,0,459,8869,-10026
2024-02-18,0,150314,1292398,489786,0,5528,20118,-1985
2024-02-19,0,145233,525662,2554621,0,11307,17201,-21512
2024-02-20,0,94083,367290,6091617,0,10435,11704,-50038
2024-02-21,0,60897,438464,5500833,0,5248,16639,-45911
2024-02-22,0,102228,648634,1602148,0,2917,16911,-10718
2024-02-23,0,0,1102301,0,0,0,16613,0
2024-02-24,0,0,155775,0,0,0,4955,0
2024-02-25,0,0,317968,93,0,0,6505,-7
2024-02-26,0,0,400758,1185705,0,0,9232,-25263
2024-02-27,0,0,60568,6140755,0,0,7209,-67776
2024-02-28,0,1873,55998,4819311,0,1820,7894,-55631
2024-02-29,0,18195,470243,6982494,0,2345,13697,-55484
2024-03-01,0,0,518799,40083,0,0,8878,-1100
2024-03-02,0,0,497572,153215,0,0,11641,-1734
2024-03-03,0,0,150581,754510,0,0,3199,-16583
2024-03-04,0,0,62009,2965222,0,0,4671,-45569
2024-03-05,0,0,79423,8959688,0,0,5473,-80709
2024-03-06,0,0,98571,3866133,0,0,2381,-44838
2024-03-07,0,0,332687,978230,0,0,4563,-6716
2024-03-08,0,0,1205399,3717911,0,0,25153,-30770
2024-03-09,0,0,1674805,4128897,0,0,32646,-31978
2024-03-10,0,0,1907717,3998781,0,0,28517,-38878
2024-03-11,0,0,441831,0,0,0,11223,0
2024-03-12,0,0,412415,1218442,0,0,12062,-9222
2024-03-13,0,0,569622,9324466,0,0,25094,-68214
2024-03-14,0,2621,1297851,1069619,0,178,22079,-6941
2024-03-15,0,0,1651395,704502,0,0,19922,-7376
2024-03-16,0,0,661131,2512637,0,0,16131,-22770
2024-03-17,0,0,1308236,543832,0,0,19509,-5815
2024-03-18,0,0,603833,4120638,0,0,16678,-31182
2024-03-19,0,0,317845,5326803,0,0,12589,-48021
2024-03-20,0,0,197014,1888656,0,0,5984,-28682
2024-03-21,0,77521,530513,10580857,0,3901,13345,-87703
2024-03-22,0,0,916937,11319288,0,0,25411,-87452
2024-03-23,0,0,1256100,7498442,0,0,41480,-63286
2024-03-24,0,112422,2386485,1610717,0,4436,33191,-13536
2024-03-25,0,0,782125,156173,0,0,11800,-3656
2024-03-26,0,0,575559,557944,0,0,11897,-5667
2024-03-27,0,0,618202,2309921,0,0,17924,-20765
2024-03-28,0,0,930826,3343333,0,0,23074,-28992
2024-03-29,0,0,1481953,257318,0,0,28750,-3604
2024-03-30,0,0,1208514,0,0,0,24016,0
2024-03-31,0,0,1907087,28124,0,0,37215,0
